"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","77","Failed login with invalid credentials","","2026-03-27","skipped","2026-03-27","","","",""
"","76","Add multiple employees","","2026-03-27","skipped","2026-03-27","","","",""
"","83","Search employee by Employee ID","","2026-03-27","skipped","2026-03-27","","","",""
"","80","Add a new employee with Employee ID","","2026-03-27","skipped","2026-03-27","","","",""
"","76","Search user returns no results","","2026-03-27","skipped","2026-03-27","","","",""
"","540","Add a new employee with mandatory fields","","2026-03-27","skipped","2026-03-27","","","",""
"","78","Search user by status","","2026-03-27","skipped","2026-03-27","","","",""
"","72","Reset user search filters","","2026-03-27","skipped","2026-03-27","","","",""
"","82","Create a new Admin user","","2026-03-27","skipped","2026-03-27","","","",""
"","80","Add multiple employees","","2026-03-27","skipped","2026-03-27","","","",""
"","79","Create a new ESS user","","2026-03-27","skipped","2026-03-27","","","",""
"","80","Add multiple employees","","2026-03-27","skipped","2026-03-27","","","",""
"","80","Search employee returns no results","","2026-03-27","skipped","2026-03-27","","","",""
"","80","Successful login with valid credentials","","2026-03-27","skipped","2026-03-27","","","",""
"","77","Login with empty credentials","","2026-03-27","skipped","2026-03-27","","","",""
"","80","Search user by username","","2026-03-27","skipped","2026-03-27","","","",""
"","75","Search for an existing employee by name","","2026-03-27","skipped","2026-03-27","","","",""
"","77","Search user by user role","","2026-03-27","skipped","2026-03-27","","","",""
